n=100,n=1000,n=10000,n=50000,n=100000
0.017408,0.060416,0.111616,0.326656,0.581632
0.018432,0.06544,0.111616,0.335872,0.592896
0.018432,0.060416,0.109568,0.326656,0.584704
0.018432,0.06144,0.108544,0.320512,0.581632
0.019328,0.060416,0.111616,0.325632,0.646144
0.018432,0.062432,0.110592,0.320512,0.574464
0.018432,0.061408,0.108544,0.320512,0.583648
0.017408,0.060416,0.109568,0.321536,0.58256
0.018432,0.060416,0.108544,0.323552,0.586752
0.019456,0.060416,0.109568,0.320512,0.586752
0.019328,0.060416,0.109568,0.328704,0.579584
0.018336,0.060416,0.108544,0.326656,0.58368
0.018432,0.060288,0.109568,0.328704,0.592864
0.018432,0.060416,0.108544,0.326656,0.577536
0.018432,0.060416,0.108544,0.329728,0.585728
0.028672,0.060416,0.108544,0.32768,0.576512
0.018432,0.060416,0.10944,0.330752,0.583456
0.017408,0.061344,0.108544,0.318464,0.5888
0.021504,0.060416,0.108544,0.318464,0.586752
0.028672,0.060416,0.109568,0.328704,0.586752
0.018432,0.060416,0.109568,0.335872,0.581632
0.018432,0.060416,0.109568,0.327648,0.584704
0.02048,0.060416,0.109472,0.320512,0.581632
0.018432,0.060416,0.11264,0.326656,0.586752
0.017408,0.060416,0.147456,0.320512,0.587776
0.018432,0.060416,0.108544,0.325632,0.589824
0.018432,0.060416,0.111616,0.326656,0.586688
0.047104,0.060416,0.109408,0.325632,0.587776
0.018432,0.061248,0.111616,0.319488,0.57856
0.019456,0.060416,0.109472,0.326528,0.582656
0.018432,0.06144,0.139168,0.321408,0.589824
0.018432,0.060416,0.108544,0.326656,0.58368
0.018368,0.06144,0.109568,0.325632,0.598016
0.017408,0.060416,0.114688,0.329728,0.585728
0.017408,0.06128,0.137216,0.33888,0.598016
0.017408,0.061312,0.108544,0.328704,0.584704
0.018304,0.060416,0.111616,0.320512,0.586752
0.017408,0.06144,0.109568,0.325632,0.589824
0.018304,0.060416,0.109408,0.320512,0.586752
0.018432,0.060416,0.109568,0.326464,0.57856
0.018432,0.060416,0.110592,0.319488,0.584704
0.017408,0.060416,0.108544,0.335872,0.595968
0.017408,0.060416,0.108544,0.325632,0.620544
0.017408,0.060416,0.108544,0.325632,0.57856
0.018432,0.060416,0.109568,0.321536,0.603136
0.018304,0.06128,0.109472,0.319488,0.581632
0.017408,0.060416,0.110592,0.320512,0.581632
0.018432,0.060416,0.111616,0.320512,0.529408
0.018432,0.060416,0.144384,0.32352,0.357376
0.018432,0.060416,0.137184,0.325632,0.365568
0.018272,0.060416,0.111616,0.328704,0.364544
0.018432,0.061312,0.108544,0.324608,0.361184
0.018432,0.060416,0.111456,0.326656,0.361472
0.018432,0.060416,0.137216,0.354304,0.365568
0.017408,0.060416,0.136192,0.32144,0.3584
0.03584,0.060416,0.109408,0.321536,0.363456
0.018336,0.06128,0.110592,0.321536,0.36352
0.019456,0.060416,0.108544,0.320512,0.362496
0.018432,0.060416,0.109568,0.319488,0.360448
0.017408,0.060416,0.108544,0.32768,0.361472
0.017408,0.060416,0.109568,0.326656,0.361472
0.018432,0.06144,0.109408,0.326656,0.36336
0.0184,0.060416,0.137216,0.328704,0.364544
0.017408,0.061376,0.10944,0.32768,0.364544
0.018432,0.060416,0.109472,0.325632,0.359232
0.021504,0.060416,0.114688,0.32256,0.359136
0.018432,0.061408,0.137216,0.320512,0.364544
0.019392,0.060416,0.108544,0.326656,0.389952
0.018272,0.060416,0.109472,0.326528,0.36352
0.017408,0.061408,0.110592,0.321536,0.36352
0.019456,0.06144,0.108544,0.326656,0.3584
0.018432,0.061408,0.108544,0.32256,0.366592
0.018432,0.060416,0.111616,0.328704,0.359168
0.018304,0.06144,0.139264,0.32768,0.36752
0.018432,0.060416,0.109568,0.32768,0.363264
0.018432,0.060416,0.109568,0.321536,0.361472
0.018432,0.060416,0.110592,0.328704,0.362336
0.017408,0.060416,0.109568,0.32256,0.365568
0.018432,0.060416,0.111616,0.328704,0.360448
0.018432,0.060416,0.109568,0.32768,0.356352
0.018432,0.060416,0.108544,0.32256,0.354304
0.017408,0.060416,0.111488,0.323584,0.370688
0.017408,0.060416,0.109536,0.37888,0.362496
0.0184,0.060416,0.109568,0.330752,0.354304
0.017408,0.060256,0.109568,0.32768,0.362496
0.019456,0.060416,0.109568,0.321536,0.355328
0.018432,0.060416,0.111616,0.321536,0.359424
0.02048,0.060416,0.108544,0.326656,0.355264
0.018304,0.060352,0.159744,0.318464,0.366464
0.018432,0.060416,0.109568,0.326656,0.361472
0.019456,0.060416,0.109376,0.323584,0.361248
0.021504,0.06144,0.157696,0.325632,0.39424
